Designator,Mid X,Mid Y,Rotation,Layer
B13,332.244,-68.5825,180.0,top
B14,311.644,-43.4825,0.0,top
B15,291.044,-68.5825,180.0,top
B16,270.444,-43.4825,0.0,top
B17,249.844,-68.5825,180.0,top
B18,229.244,-43.4825,0.0,top
B19,208.644,-68.5825,180.0,top
B20,188.044,-43.4825,0.0,top
B21,167.444,-68.5825,180.0,top
B22,146.844,-43.4825,0.0,top
B23,126.244,-68.5825,180.0,top
B24,105.644,-43.4825,0.0,top
B25,85.044,-56.0325,180.0,top
C10,38.608,-61.468,0.0,top
C12,43.18,-52.324,0.0,top
C14,47.130707,-64.150707,180.0,top
C2,270.255999,-42.7755,180.0,top
C27,54.004225,-73.382069,45.0,top
C28,56.527478,-70.858816,45.0,top
C29,59.050731,-68.335563,45.0,top
C30,61.573985,-65.812309,45.0,top
C31,68.002,-63.960849,90.0,top
C32,68.002,-60.506449,270.0,top
C33,68.002,-57.052049,90.0,top
C34,68.002,-53.597649,90.0,top
C35,68.002,-50.143249,90.0,top
C36,68.002,-46.688849,90.0,top
C37,65.461999,-43.146,135.0,top
C38,60.17822,-41.92622,135.0,top
C39,57.48612,-39.23412,135.0,top
C4,146.488315,-42.639474,180.0,top
C40,43.18,-50.292,0.0,top
C42,41.656,-42.672,270.0,top
C6,146.812,-60.96,0.0,top
C8,269.748,-64.008,180.0,top
D1,32.004,-48.26,0.0,top
J1,35.56,-81.915,0.0,top
J2,34.544,-55.138,270.0,top
L1,40.64,-68.58,270.0,top
Q2,38.1,-44.3568,0.0,top
R10,40.64,-52.324,270.0,top
R11,43.371,-54.356,0.0,top
R12,43.688,-45.72,270.0,top
R52,71.542,-49.081434,180.0,top
R53,61.50872,-38.65582,225.0,top
R54,44.704,-68.072,270.0,top
R55,62.414,-71.848,135.0,top
R56,64.1582,-70.1038,135.0,top
R57,63.17042,-40.38822,225.0,top
R58,58.9256,-75.3364,135.0,top
R59,60.6698,-73.5922,135.0,top
R6,43.371,-56.388,0.0,top
R60,71.542,-52.209717,180.0,top
R61,71.542,-45.953149,180.0,top
R62,71.542,-64.722849,180.0,top
R63,71.542,-61.594566,180.0,top
R64,71.542,-58.466283,180.0,top
R65,71.542,-55.338,180.0,top
R66,59.67022,-37.100221,225.0,top
R67,291.084,-68.326,90.0,top
R68,167.386,-43.942,270.0,top
R69,105.664,-68.58,90.0,top
R70,291.084,-43.432,270.0,top
R71,167.386,-68.072,90.0,top
R72,311.658,-43.686,270.0,top
R73,249.936,-68.328,90.0,top
R74,229.362,-43.688,270.0,top
R75,105.664,-43.434,270.0,top
R76,208.536,-67.818,90.0,top
R77,126.238,-68.326,90.0,top
R78,208.534,-43.688,270.0,top
R79,50.292,-70.104,90.0,top
R8,48.2365,-42.164,0.0,top
R80,44.704,-62.992,270.0,top
R81,319.3015,-52.451,180.0,top
R82,319.278,-56.642,90.0,top
R83,286.004,-50.593,90.0,top
R84,278.384,-56.642,90.0,top
R85,244.856,-50.847,90.0,top
R86,236.728,-56.642,90.0,top
R87,201.041,-56.341,270.0,top
R88,195.326,-56.4915,90.0,top
R89,162.306,-51.101,90.0,top
R9,48.1095,-46.99,0.0,top
R90,154.178,-56.6185,90.0,top
R91,121.158,-50.847,90.0,top
R92,101.917,-53.34,0.0,top
R93,80.01,-51.101,90.0,top
R94,32.004,-45.529,270.0,top
R96,40.64,-64.008,0.0,top
R98,42.672,-58.42,0.0,top
T1,43.688707,-76.073707,90.0,top
U10,52.832,-55.626,90.0,top
U3,270.256,-46.3315,270.0,top
U4,146.842815,-46.195475,270.0,top
U7,146.812,-64.516,270.0,top
U8,270.1875,-67.7035,270.0,top
